routenummer,bezoekdatum,soort,wetenschappelijke naam,sectie,aantal
2096,23-06-20 15:09,klein koolwitje,Pieris rapae,4,1
2096,12-07-20 12:05,atalanta,Vanessa atalanta,1,3
2096,12-07-20 12:05,atalanta,Vanessa atalanta,6,2
2096,12-07-20 12:05,dagpauwoog,Aglais io,1,1
2096,12-07-20 12:05,dagpauwoog,Aglais io,6,1
2096,12-07-20 12:05,klein koolwitje,Pieris rapae,1,1
2096,23-07-20 14:56,klein koolwitje,Pieris rapae,6,1
2096,02-08-20 15:27,atalanta,Vanessa atalanta,1,1
2096,02-08-20 15:27,atalanta,Vanessa atalanta,6,1
2096,02-08-20 15:27,klein koolwitje,Pieris rapae,1,3
2096,02-08-20 15:27,klein koolwitje,Pieris rapae,2,1
2096,02-08-20 15:27,klein koolwitje,Pieris rapae,6,1
2096,02-08-20 15:27,kleine vos,Aglais urticae,1,1
2096,02-08-20 15:27,kleine vos,Aglais urticae,6,1
2096,09-08-20 10:48,atalanta,Vanessa atalanta,1,4
2096,09-08-20 10:48,klein koolwitje,Pieris rapae,1,5
2096,09-08-20 10:48,klein koolwitje,Pieris rapae,6,1
2096,16-08-20 11:37,atalanta,Vanessa atalanta,1,3
2096,16-08-20 11:37,dagpauwoog,Aglais io,1,9
2096,16-08-20 11:37,dagpauwoog,Aglais io,2,1
2096,16-08-20 11:37,klein koolwitje,Pieris rapae,1,7
2096,16-08-20 11:37,klein koolwitje,Pieris rapae,2,1
2096,28-08-20 10:37,atalanta,Vanessa atalanta,1,5
2096,28-08-20 10:37,dagpauwoog,Aglais io,1,1
2096,28-08-20 10:37,dagpauwoog,Aglais io,6,1
2096,28-08-20 10:37,klein koolwitje,Pieris rapae,1,1
2096,06-09-20 15:51,atalanta,Vanessa atalanta,1,2
2096,06-09-20 15:51,dagpauwoog,Aglais io,1,3
2096,06-09-20 15:51,klein koolwitje,Pieris rapae,1,2
2096,06-09-20 15:51,klein koolwitje,Pieris rapae,6,1
2096,06-09-20 15:51,kleine vos,Aglais urticae,1,2
2096,15-09-20 12:16,dagpauwoog,Aglais io,1,9
2096,15-09-20 12:16,dagpauwoog,Aglais io,6,6
2096,15-09-20 12:16,klein koolwitje,Pieris rapae,1,2
2096,15-09-20 12:16,klein koolwitje,Pieris rapae,6,3
2096,15-09-20 12:16,icarusblauwtje,Polyommatus icarus,1,1
2096,15-09-20 12:16,icarusblauwtje,Polyommatus icarus,6,1
2096,20-09-20 15:56,dagpauwoog,Aglais io,1,5
2096,20-09-20 15:56,dagpauwoog,Aglais io,6,3
2096,20-09-20 15:56,klein koolwitje,Pieris rapae,1,4
2096,20-09-20 15:56,klein koolwitje,Pieris rapae,6,3
2096,29-09-20 14:27,bont zandoogje,Pararge aegeria,1,1
2096,29-09-20 14:27,klein koolwitje,Pieris rapae,1,2
2096,29-09-20 14:27,klein koolwitje,Pieris rapae,6,6
